Cell,Pms1,Prrx2,Ets1,Tet2,Crebrf,Gli3,Zhx2,A630089N07Rik,Zfhx4,Pbx3
13_73_14__s6,0.28688594823619534,0.40751888108361306,0.5240269983289154,0.5133375145001583,0.5065142120429647,0.40777750560558435,0.5450488657727989,0.254407479308772,0.520847061557267,0.25264631994977493
13_19_01__s6,0.3809912598967611,0.3586250122783528,0.592544653873543,0.44634691226224477,0.4598912067477154,0.44066420731702577,0.5234020058960919,0.35934541556228583,0.4351410497892823,0.3864127901335227
17_01_25__s8,0.30764669335085176,0.4708506098050377,0.5737113524264758,0.5124253439565322,0.5091593825330052,0.4567308846832614,0.587099569424166,0.2697752339172592,0.5074173413188994,0.2659048659868919
14_96_47__s3,0.35933718669019693,0.2802937173650282,0.5385307053863517,0.4492200624698331,0.4809287791573703,0.38917396554913475,0.46816583249665383,0.3362372580510824,0.4324008273458386,0.34955768008100696
15_02_62__s5,0.2984033599852119,0.4187295241924171,0.6254064760613961,0.5242361775482671,0.5696032030175732,0.4113583143636038,0.5806004743198536,0.25958239128846716,0.4951134903969457,0.2657941064701901
17_58_05__s3,0.32760894795821766,0.359259628946433,0.5409899249236544,0.4849115945988866,0.4473388135292892,0.4317429740206616,0.564302285881338,0.29113173868827963,0.501703931167947,0.2846600988511415
15_39_06__s4,0.25998642011860296,0.559754365190609,0.5936161287946639,0.5206386879872653,0.576792959627249,0.4479674549581031,0.6678677689515959,0.2315834566122407,0.5482353593174283,0.2404785338656989
18_92_03__s4,0.45359797705987237,0.28157859999532203,0.4979030535634454,0.42492656431917764,0.3127441921004502,0.4859254811438581,0.48427006015037444,0.3921336319891946,0.440062862393831,0.3577079546715217
14_72_07__s5,0.2997641331221608,0.5029418440413803,0.6330506469090269,0.515201932162108,0.6164053909744088,0.4508777806574414,0.5961252847741306,0.26003124676473843,0.5244063969298159,0.2685518566428065
14_01_31__s4,0.24578419665508716,0.5997967201332739,0.5603286607282207,0.528025544056054,0.6402023496391881,0.4161544198213217,0.6491977227782695,0.22237389039886402,0.5433833142548191,0.2352337047720587
18_28_10__s1,0.24766488892814395,0.5843924800762237,0.5811514701826143,0.5250015410284246,0.6111926550811893,0.4251140250062988,0.6715594287750407,0.22080182274730883,0.5395219237435924,0.23518139980681801
16_62_38__s8,0.4487875937564088,0.26801425552251856,0.5022785867185202,0.4349644427593814,0.33352620722177057,0.4753053691254033,0.49962528037546367,0.39297864345135314,0.44759058392594553,0.36461326029593516
