Cell,category,label
18_43_22__s1,PD-L1,1
18_80_91__s2,PD-L1,1
15_30_38__s4,PD-L1,1
16_30_27__s3,PD-L1,1
14_31_03__s6,PD-L1,1
18_95_58__s1,PD-L1,1
13_27_30__s1,PD-L1,1
15_41_05__s5,PD-L1,1
14_88_72__s4,PD-L1,1
18_29_22__s8,PD-L1,1
17_40_41__s5,PD-L1,1
13_80_93__s6,PD-L1,1
13_38_95__s5,PD-L1,1
18_70_43__s2,PD-L1,1
18_24_46__s4,PD-L1,1
18_56_32__s7,PD-L1,1
18_44_74__s8,PD-L1,1
18_43_34__s3,PD-L1,1
16_72_16__s2,PD-L1,1
17_15_91__s5,PD-L1,1
15_24_10__s2,PD-L1,1
17_20_64__s8,PD-L1,1
13_04_50__s5,PD-L1,1
14_72_32__s5,PD-L1,1
17_90_46__s8,PD-L1,1
14_41_75__s6,PD-L1,1
15_17_91__s2,PD-L1,1
17_42_94__s6,PD-L1,1
15_61_07__s7,PD-L1,1
17_65_10__s1,PD-L1,1
15_45_80__s6,PD-L1,1
16_30_80__s3,PD-L1,1
14_18_36__s5,PD-L1,1
15_56_11__s8,PD-L1,1
17_21_86__s6,PD-L1,1
14_56_75__s3,PD-L1,1
17_95_41__s3,PD-L1,1
18_86_38__s1,PD-L1,1
18_59_42__s5,PD-L1,1
13_36_28__s7,PD-L1,1
18_37_80__s2,PD-L1,1
18_11_39__s1,PD-L1,1
16_70_71__s1,PD-L1,1
16_05_57__s5,PD-L1,1
17_04_27__s2,PD-L1,1
18_36_51__s2,PD-L1,1
17_36_94__s1,PD-L1,1
14_65_73__s2,PD-L1,1
15_49_11__s5,PD-L1,1
15_27_82__s7,PD-L1,1
14_38_47__s1,PD-L1,1
14_72_90__s4,PD-L1,1
15_63_05__s3,PD-L1,1
13_49_56__s6,PD-L1,1
17_34_74__s6,PD-L1,1
14_31_50__s1,PD-L1,1
15_16_36__s1,PD-L1,1
15_40_32__s2,PD-L1,1
16_86_84__s6,PD-L1,1
14_71_34__s1,PD-L1,1
16_51_18__s2,PD-L1,1
18_48_53__s2,PD-L1,1
16_66_38__s1,PD-L1,1
15_64_18__s5,PD-L1,1
18_19_63__s1,PD-L1,1
13_83_45__s5,PD-L1,1
16_56_84__s8,PD-L1,1
16_66_67__s6,PD-L1,1
13_52_15__s1,PD-L1,1
14_26_78__s5,PD-L1,1
13_09_15__s1,PD-L1,1
13_74_25__s3,PD-L1,1
16_68_77__s7,PD-L1,1
15_43_27__s5,PD-L1,1
16_26_95__s1,PD-L1,1
13_75_29__s8,PD-L1,1
18_36_44__s2,PD-L1,1
16_04_51__s5,PD-L1,1
18_88_73__s4,PD-L1,1
18_78_60__s4,PD-L1,1
17_15_58__s4,PD-L1,1
18_06_31__s6,PD-L1,1
